run	strategy	rec_s	commit_p50_us	commit_p99_us	prep_p50_us	submit_p50_us	block_p50_us	deferral_p50_us	append_stall_us
1	covering-flush	8896	1167	2406	0	1167	0	6800	158135
1	host-sequenced	7092	1201	2116	942	216	0	7344	200234
1	alternating-rings	6976	1214	6575	0	1214	0	15618	201159
2	covering-flush	6931	1255	1953	0	1255	0	7266	206551
2	host-sequenced	8588	1077	2110	854	210	0	6786	168721
2	alternating-rings	7221	1217	1626	0	1217	0	15041	198572
3	covering-flush	7068	1237	2437	0	1237	0	6865	204007
3	host-sequenced	7396	1138	1717	909	195	0	6729	198324
3	alternating-rings	7496	1122	1522	0	1122	0	15000	192467
4	covering-flush	6741	1243	1597	0	1242	0	7750	211243
4	host-sequenced	6724	1218	1875	1008	220	0	7260	217493
4	alternating-rings	6607	1322	1824	0	1322	0	16801	207886
5	covering-flush	8891	605	1788	0	604	0	2200	159109
5	host-sequenced	5854	1356	2174	1071	272	0	8237	239652
5	alternating-rings	6441	1487	2172	0	1487	0	17650	214630
6	covering-flush	6682	1341	2513	0	1340	0	7636	209061
6	host-sequenced	10414	375	2099	173	181	0	1537	161286
6	alternating-rings	7477	1125	2127	0	1125	0	14623	195832
7	covering-flush	6972	1234	2338	0	1234	0	6909	209974
7	host-sequenced	6747	1241	6400	976	239	0	7434	209394
7	alternating-rings	9133	436	34453	0	435	0	4916	132933
8	covering-flush	7215	1197	1812	0	1196	0	6958	198256
8	host-sequenced	7601	1067	1594	872	201	0	6711	192308
8	alternating-rings	7477	1108	2179	0	1108	0	15110	196133
9	covering-flush	8189	1023	4150	0	1023	0	6543	191346
9	host-sequenced	7570	1076	1734	859	181	0	6899	192444
9	alternating-rings	7207	1236	1448	0	1236	0	15700	199378
10	covering-flush	6983	1203	1603	0	1203	0	7249	204256
10	host-sequenced	8966	1079	7073	862	201	0	6665	151885
10	alternating-rings	7646	1115	2936	0	1115	0	14391	189436
11	covering-flush	6499	1245	1987	0	1245	0	7067	229769
11	host-sequenced	7313	1127	1787	908	186	0	6749	201203
11	alternating-rings	7833	1140	2008	0	1140	0	15046	184699
12	covering-flush	6906	1225	1805	0	1225	0	7363	209302
12	host-sequenced	7625	1096	3155	902	188	0	6753	186537
12	alternating-rings	7517	1205	2378	0	1205	0	14547	190887
13	covering-flush	7861	1159	1645	0	1158	0	6957	184177
13	host-sequenced	7134	1060	1494	851	171	0	6709	210635
13	alternating-rings	7077	1200	3470	0	1200	0	15488	204367
14	covering-flush	7066	1203	2271	0	1203	0	6993	204001
14	host-sequenced	7700	1056	1896	858	177	0	6580	188007
14	alternating-rings	7545	1118	1409	0	1118	0	14803	193116
15	covering-flush	7522	1170	1923	0	1170	0	6833	191747
15	host-sequenced	7612	1090	1792	886	198	0	6789	192571
15	alternating-rings	7235	1149	2308	0	1149	0	14957	201371
